Partner Name;lat;long;price_factor;Capacity of Biggest Vehicle Given;Capacity of Smallest Vehicle Given;Vehicles Given
Grüner Omnibusse GmbH 1;48.688091;13.4806061;1.0;58.0;6.0;32.0
Gutt Reisen GmbH - VR-Tours 1;50.7897916;6.765484;1.0;70.0;32.0;6.0
Helmuts Reisen GmbH 1;51.4563537;12.5616216;1.0;78.0;15.0;30.0
Mannheimer Omnibusreisen - Holger Tours GmbH 1;51.3439369;12.365213800000001;1.0;78.0;15.0;30.0
Höner Touristik und Logistik GmbH 1;49.3685525;10.409692100000001;1.0;57.0;0.0;0.0
Hörmann Reisen 1;50.6848815;13.0197609;1.0;55.0;48.0;4.0
Huber 1;52.048492100000004;7.1124455;1.0;58.0;25.0;5.0
Werner Hummel Omnibusverkehr GmbH 1;52.32738;8.3809305;1.0;53.0;40.0;12.0
Hunau Reisen Ferd. Knipschild GmbH & Co. KG 1;52.532880000000006;13.209749999999984;1.0;78.0;48.0;24.0
Ideal Reisen GmbH 1;52.4555135;9.851280599999999;1.0;78.0;48.0;24.0
Janssen Reisen Wittmund GmbH & CO. KG 1;51.5131826;7.1638135;1.0;78.0;8.0;100.0
Joost´s Ostsee Express Busreisen GmbH 1;51.3737535;7.216074099999999;1.0;79.0;48.0;13.0
Klein-Wiele Reisen GmbH 1;48.5882435;11.782482400000001;1.0;61.0;8.0;35.0
Omnibus Koch 1;51.758059499999995;7.1843379;1.0;91.0;8.0;65.0
Kocher Lutz GmbH 1;48.1889381;11.8600611;1.0;80.0;42.0;10.0
Kössl-Reisen GmbH 1;48.1893836;11.8480713;1.0;80.0;42.0;10.0
Lagobus GmbH 1;48.141744700000004;11.548503399999962;1.0;80.0;42.0;10.0
Lampe Reisen GmbH & Co. KG 1;49.5564835;8.557245;1.0;78.0;7.0;15.0
Lanting Reizen 1;52.2418295;7.967116900000001;1.0;54.0;8.0;2.0
Lay Reisen on Tour GmbH 1;48.364986;10.8914375;1.0;68.0;40.0;11.0
Wilhelm Leibfritz GmbH & Co.KG 1;48.487895;8.178631;1.0;51.0;26.0;5.0
Lenhard GmbH & Co. KG 1;47.961967;7.953761500000001;1.0;50.0;30.0;6.0
Tour-Retour-Reisen Lenz 1;51.1903979;8.309775;1.0;65.0;22.0;12.0
Lochbühler Reisen GmbH 1;50.870791600000004;8.068256;1.0;44.0;38.0;5.0
Plattner Martin & Co 1;53.605785;7.752138900000001;1.0;70.0;16.0;21.0
Mertens Reisen GmbH 1;54.099647499999996;11.9294406;1.0;57.0;16.0;25.0
Merz Reisen GmbH 1;51.819440500000006;6.5850089999999994;1.0;88.0;40.0;8.0
Dirr-Reisen GmbH 1;49.3389249;10.9296895;1.0;78.0;8.0;9.0
Möbius Bus GbR 1;48.4957354;9.1151944;1.0;59.0;17.0;10.0
Moje Bustouristik 1;48.5658637;11.261892199999998;1.0;60.0;20.0;9.0
Omnibusbetrieb Stephan Müller 1;47.7570965;8.8640459;1.0;83.0;44.0;13.0
Neukam-Reba GmbH 1;53.9315928;9.4861201;1.0;57.0;44.0;6.0
Neumann Reisen GmbH 1;52.7291949;6.5108697;1.0;90.0;28.0;49.0
Nieuwland Reizen B.V. 1;49.281493299999994;6.874442200000001;1.0;78.0;33.0;11.0
Nussbaum Reisen Omnibus GmbH & Co.KG 1;48.3822362;9.1836972;1.0;61.0;30.0;18.0
Ohly & Weber Reisedienst GmbH 1;50.3424834;10.0111913;1.0;49.0;49.0;2.0
Omnibus Verkehr Wangen Buchmann GmbH & Co KG 1;52.569914000000004;13.408571499999999;1.0;48.0;46.0;4.0
Perseus-Reisen GmbH 1;49.5466835;8.620431;1.0;55.0;25.0;8.0
Petram 1;46.6011235;11.1359039;1.0;0.0;0.0;0.0
Euro Tours Hugo Pfeifer KG 1;51.7967321;8.433566;1.0;57.0;24.0;30.0
Primo Regio GmbH & Co. KG i.G. 1;49.3572695;11.4362955;1.0;59.0;31.0;10.0
H. J. Placke Reisen 1;48.3894435;10.4293413;1.0;81.0;9.0;30.0
Prima Klima Reisen GmbH 1;51.082983299999995;13.6345013;1.0;57.0;8.0;10.0
Pülm Reisen GmbH 1;52.50077829999999;13.2748533;1.0;57.0;8.0;10.0
Racktours GmbH & Co. KG 1;53.4203816;10.0190135;1.0;58.0;19.0;5.0
Reiter's Busverkehrs GmbH 1;51.8661495;11.095298800000002;1.0;59.0;20.0;12.0
Albert-Rexer GmbH & Co. KG 1;49.451626899999994;11.0889;1.0;55.0;7.0;25.0
Rheingold Reisen Wuppertal Blankennagel GmbH & Co. KG 1;51.981165999999995;8.4409059;1.0;68.0;4.0;21.0
Rombs-Touristik GmbH & Co. 1;52.331660799999995;4.9671651;1.0;0.0;0.0;0.0
Satra-Eberhardt GmbH (gehört zu Eberhardt ID294) 1;48.3510465;10.758897;1.0;75.0;49.0;7.0
Schächer Reisen GmbH 1;50.2911605;8.5115919;1.0;49.0;44.0;3.0
Schmidt Fernlinienbus GmbH 1;47.688368;9.8127445;1.0;60.0;20.0;15.0
Schneider Reisen GmbH 1;48.355151;12.513912;1.0;0.0;0.0;0.0
Schnurr Reisen GmbH 1;48.1335875;11.684119099999998;1.0;57.0;6.0;12.0
Reisedienst Schröder GmbH 1;48.5802845;8.1176265;1.0;0.0;0.0;0.0
Silbernagl GmbH 1;53.7442432;9.0851213;1.0;53.0;44.0;13.0
Staf Cars 1;53.1690826;7.997202000000001;1.0;53.0;44.0;13.0
Stiefvater Linien John Stiefvater e.K. 1;50.9715352;7.0254993;1.0;82.0;6.0;70.0
Strauss GmbH & Co. KG 1;52.458736;13.395686999999999;1.0;80.0;16.0;50.0
Strier Reisen GmbH & Co. KG 1;51.8779185;10.1911689;1.0;48.0;48.0;1.0
Reiseservice Horst Strobl 1;50.1598655;8.9837581;1.0;59.0;21.0;18.0
Reiseverkehr/Omnibusreisen Stuber GmbH 1;53.35678000000001;7.1772800000000005;1.0;57.0;34.0;6.0
Suerland Busreisen GmbH 1;48.705411100000006;8.7545019;1.0;75.0;40.0;12.0
Theo's Reisen GmbH & Co. KG 1;51.3003026;7.233600999999999;1.0;48.0;0.0;1.0
Busreisen Tholen 1;49.0089579;10.9879169;1.0;61.0;19.0;9.0
Thürauf GmbH Reisebüro & Busreisen 1;51.04005;13.594129999999998;1.0;53.0;36.0;10.0
TTT Linienverkehr GmbH i.G. 1;48.099386200000005;10.552083900000001;1.0;49.0;49.0;1.0
UBBEN-Reisen GmbH 1;52.157002;10.497371000000001;1.0;68.0;40.0;18.0
Udo Diehl Reisen GmbH & Co. KG 1;50.586908;6.6531484;1.0;77.0;48.0;5.0
Umbrella 1;48.344027000000004;8.0888625;1.0;72.0;29.0;20.0
K.d.e. Reisen Standort Hamburg 1;54.178211;12.2716919;1.0;57.0;44.0;6.0
Univers Reisen 1;46.5949575;11.408050999999999;1.0;0.0;0.0;0.0
URBAN-REISEN Franz Urban GmbH 1;51.219521;5.365165;1.0;66.0;48.0;4.0
v. d. Meer 1;47.543774799999994;7.554939;1.3;55.0;29.0;10.0
Autobusonderneming W. Verhoef B.V. 1;47.6342979;7.625260000000001;1.0;55.0;29.0;10.0
Verhuven Touristik GmbH 1;47.655028;9.6186285;1.0;65.0;8.0;31.0
von Rahden 1;52.278985;7.708672;1.0;54.0;15.0;14.0
Omnibus Wegis GmbH 1;49.454358;11.8454956;1.0;57.0;30.0;4.0
Weiherer GmbH & Co. 1;49.060057;8.9078645;1.0;55.0;26.0;4.0
Weihrauch Uhlendorff GmbH 1;51.6303265;8.758005699999998;1.0;55.0;44.0;6.0
Elmar Weinzierl Omnibustouristik GmbH 1;51.989146999999996;7.5339121;1.0;60.0;16.0;10.0
Fritz Wellhöfer GmbH & Co. KG 1;53.015041599999996;7.8858175;1.0;59.0;19.0;14.0
Welter's Reisen GmbH & Co.KG 1;50.0414701;8.5098431;1.0;67.0;45.0;21.0
Werner Reisen OHG 1;49.5239285;10.4408195;1.0;67.0;45.0;21.0
Wiedenhoff Reisen 1;50.1073842;8.6116952;1.0;52.0;16.0;25.0
Wollschläger & Partner GmbH 1;54.0931231;9.664211300000002;1.0;78.0;44.0;6.0
Busservice Wörlitz Tourist GmbH 1;54.0834431;9.6565213;1.0;78.0;44.0;6.0
Wricke-Touristik GmbH 1;50.9067734;8.6902513;1.0;65.0;18.0;7.0
Omnibus Wunder e.K. 1;50.8071234;8.3460513;1.0;65.0;18.0;7.0
Zimmermann Reisen eK -ZimBus- 1;50.053749200000006;14.4577434;1.0;83.0;16.0;52.0
Burg 1;53.42957;9.98221;1.0;68.0;16.0;7.0
Elb-Saale 1;52.570261800000004;13.36045630000001;1.0;81.0;16.0;37.0
Grenzenlos 1;50.9030534;7.066931299999999;1.0;81.0;16.0;37.0
Bölck 1;51.5664565;6.977372999999999;1.0;78.0;45.0;27.0
Drenthe Tours B.V 1;52.184020000000004;4.7761009;1.0;0.0;0.0;0.0
Becker 1;52.0705521;4.7638718;1.0;89.0;8.0;10.0
Brookhuis Busreizen 1;51.684163;6.4362535;1.0;57.0;8.0;4.0
Fritzsche 1;53.2716059;8.5916089;1.0;0.0;0.0;0.0
Watzinger Busservice 1;47.7267054;9.3441045;1.0;81.0;22.0;25.0
Vey 1;50.2489066;12.0341676;1.0;83.0;18.0;9.0
Winzenhöler 1;51.715388899999994;10.0046899;1.0;52.0;38.0;10.0
Rathje 1;50.9083415;6.9381955;1.0;70.0;26.0;10.0
BVB 1;49.28536939999999;10.655315;1.0;69.0;49.0;5.0
Omnibusbetrieb Herzum 1;50.3300076;7.217241800000001;1.0;57.0;44.0;6.0
Voulaz s.r.l. 1;50.27400720000001;7.2636026;1.0;57.0;44.0;6.0
Test 1;48.88525;8.351605000000001;1.0;73.0;8.0;52.0
Filthaut & Reusch GmbH 1;47.3766821;19.0996576;1.0;73.0;8.0;52.0
Basel Reisen GmbH & Co. KG 1;51.0912245;6.59;1.0;76.0;4.0;30.0
Rast Reisen GmbH 1;51.1089784;7.143151700000001;1.0;76.0;4.0;30.0
Watzke GesmbH & CO KG Verkehrsbetrieb 1;50.922520500000005;10.5495958;1.0;76.0;36.0;27.0
EUROBUS AG 1;52.560399;13.3938054;1.0;57.0;44.0;20.0
Nordrhein Reise und Bus-Service GmbH 1;51.927684;12.4547509;1.0;78.0;24.0;33.0
Schweizer Bustouristik 1;49.9436005;11.285313499999999;1.0;57.0;8.0;28.0
Reise Kanzlei Fuchs 1;48.4043744;8.033705900000001;1.0;78.0;15.0;18.0
Reisebüro Schöfmann & Tölzer Autoreisen GmbH & Co.KG 1;52.2684217;11.8482;1.0;53.0;8.0;4.0
Omnibus Beck GmbH 1;52.021318;11.738087;1.0;48.0;48.0;3.0
Kupers Reizen (NL) 1;52.55005379999999;13.246444200000044;1.0;58.0;36.0;6.0
Kelder Reisen GmbH 1;54.5196531;9.4633213;1.0;66.0;15.0;16.0
HPC-Reisen GmbH 1;53.006882;6.508441599999999;1.0;85.0;22.0;21.0
BINDER REISEN GMBH 1;49.318971000000005;7.083300099999999;1.0;78.0;16.0;25.0
rebus Regionalbus Rostock GmbH 1;52.2853031;6.849846400000001;1.0;0.0;0.0;0.0
Lüftner Reisen 1;50.89885;12.8025092;1.0;49.0;28.0;4.0
Christophorus Reisen - Franz Kröll (e.U.) 1;48.15;11.26;1.0;56.0;0.0;0.0
Busbetrieb Dietmar Werner 1;50.0;8.6;1.0;61.0;19.0;4.0
Neubauer Reisen GmbH & COKG 1;49.88;8.81;1.0;51.0;25.0;6.0
Bacher Touristik GmbH. 1;54.05;9.47;1.0;57.0;49.0;7.0
Meidl Reisen GesmbH 1;52.46;13.4;1.0;83.0;15.0;50.0
Zwetti Bus & Taxi 1;50.9;12.16;1.0;83.0;35.0;11.0
Berr Reisen GmbH 1;45.50636;9.22558;1.0;60.0;8.0;18.0
EUROBUS welti-furrer AG 1;49.7876834;9.9396813;1.0;47.0;10.0;2.0
K. Dysli AG - Reisen und Transporte 1;51.4399833;7.7750913;1.0;53.0;53.0;1.0
Busmiete.ch AG 1;49.9222891;10.6873671;1.0;85.0;22.0;20.0
Heggli AG 1;47.93928;7.6329413;1.0;78.0;18.0;23.0
Ebner Reisen Ges.m.b.H. 1;47.218912200000005;14.8273021;1.0;75.0;45.0;6.0
Busbetrieb Josef Ettenhuber GmbH 1;47.036623;15.436593599999998;1.0;75.0;45.0;6.0
PEREGO AUTOSERVIZI 1;47.388103;8.51647;1.3;78.0;14.0;17.0
SEAG 1;51.2188206;6.7848535000000005;1.0;78.0;16.0;9.0
LINEA AZZURRA 1;47.784620000000004;10.9254013;1.0;60.0;16.0;17.0
GIOTTO 1;47.0124159;15.430780100000002;1.0;58.0;15.0;4.0
NUOVA TESEI 1;47.7595379;11.547337400000002;1.0;57.0;38.0;6.0
S.I.T. – Società Italiana Trasporti srl 1;48.0691481;8.924468899999999;1.0;0.0;0.0;0.0
Weiss Autobusunternehmung GmbH 1;51.2677749;5.7190240999999995;1.0;78.0;0.0;0.0
SCHNEIDER 1;52.2928137;8.9647534;1.0;57.0;17.0;10.0
BUCHER TRAVEL INC. 1;52.2943133;8.9884613;1.0;57.0;17.0;10.0
WM Reisedienst 1;50.7781288;6.090678400000001;1.0;84.0;15.0;5.0
Sachsen IdealTours GmbH 1;48.81493;9.1052213;1.0;79.0;7.0;30.0
HEROLÉ Bustouristik GmbH 1;54.101330000000004;11.929881300000002;1.0;55.0;22.0;55.0
Philipp Schädler Anstalt 1;47.4837022;12.0667114;1.0;79.0;14.0;9.0
City Tours GmbH 1;47.272562799999996;11.453388499999999;1.0;79.0;14.0;9.0
Albert Rapp Autoverkehr 1;47.1907044;11.86634;1.0;80.0;38.0;10.0
Sack Gmbh 1;50.61189;12.4837313;1.0;52.0;47.0;3.0
Omnibusreisen Werner Schneider KG 1;48.376447;14.342594;1.0;60.0;39.0;8.0
Rau Touristik GmbH 1;46.6294727;14.2920885;1.0;82.0;8.0;35.0
Fromm Reisen OHG 1;46.7980481;13.6868606;1.0;82.0;8.0;35.0
Götz e.K. 1;46.856932799999996;14.80555;1.0;82.0;8.0;35.0
Schlienz-Tours GmbH & Co.KG 1;48.1603842;15.668084200000068;1.0;60.0;29.0;7.0
Baumann Fernbus GmbH 1;47.603963;13.782795000000002;1.0;50.0;8.0;10.0
Antoni Voyages 1;47.879473600000004;11.930361300000001;1.0;78.0;8.0;30.0
Becker-Reisen 1;47.4464188;8.6056348;1.3;78.0;12.0;20.0
Chèze et fils Voyages 1;46.948035;7.398425099999999;1.3;70.0;20.0;15.0
Voyages Jaccon 1;46.9661242;7.459490700000001;1.3;80.0;9.0;35.0
Voyages Gounon / Aurec sur Loire 1;47.5196127;7.6027455;1.3;80.0;9.0;35.0
habo-Reisen 1;47.4364049;8.4725579;1.3;80.0;9.0;35.0
RST Main Group / Lille 1;47.027251;8.2963351;1.3;73.0;6.0;15.0
Autocars Bertolami 1;46.9284239;13.5374084;1.0;82.0;8.0;67.0
Transports Jardel / Toulouse 1;46.6246501;14.327690300000002;1.0;82.0;8.0;67.0
Ortet / Lourdes 1;46.8624778;14.469152300000001;1.0;82.0;8.0;67.0
Azur Pullman Voyages 1;46.6188336;13.748216699999999;1.0;82.0;8.0;67.0
Clamart Cars 1;48.003699;11.842317;1.0;63.0;20.0;14.0
Voyages Gineste 1;45.520695;9.256569;1.0;57.0;19.0;27.0
Les cars Fraizy / Fontainebleau 1;44.787531;7.5052299;1.0;63.0;16.0;14.0
SEJ92 1;45.2;7.6697;1.0;53.0;16.0;22.0
Voyages Joubert 1;43.9772789;11.2827213;1.0;56.0;19.0;25.0
VAG 2000 1;41.60323629999999;12.647695800000001;1.0;56.0;19.0;16.0
Alizé Voyages 1;41.8420717;12.464497099999999;1.0;76.0;16.0;27.0
Cars Périer / Lillebonne 1;46.878058;15.5770405;1.0;81.0;8.0;40.0
Autocars TESTE 1;47.08385379999999;15.458388199999998;1.0;81.0;8.0;40.0
Alsace Tourisme 1;47.085128999999995;7.5824988;1.3;46.0;16.0;3.0
Les Cars de la Vallée 1;47.093725899999995;8.361469999999999;1.3;78.0;3.0;13.0
S.N.V.A Europe Autocars / Chambéry 1;53.63538979999999;11.367420300000001;1.0;46.0;4.0;32.0
Richou 1;51.038999999999994;13.702571300000002;1.0;78.0;46.0;18.0
Autocars Faure / Ussel 1;52.454584200000006;13.576183799999967;1.0;61.0;30.0;18.0
Just 1;53.5006755;10.001797200000057;1.0;61.0;30.0;18.0
Nénot Intertourisme 1;50.9997318;13.821227800000003;1.0;61.0;30.0;18.0
Autocars Pays de Savoie 1;47.114038799999996;9.541300300000001;1.3;51.0;7.0;9.0
Transarc 1;45.543307;-5.2376527;1.0;0.0;0.0;0.0
FH Tourisme 1;48.7841;9.1893913;1.0;78.0;8.0;26.0
Voyages Morio 1;48.160122799999996;8.3773315;1.0;78.0;8.0;26.0
Autocars Trans Azur 1;50.280359999999995;8.6547413;1.0;63.0;8.0;45.0
Voyages Ricouard 1;49.3203;9.0677413;1.0;49.0;44.0;2.0
Azur Evasion 1;49.431309999999996;8.32145;1.0;60.0;8.0;12.0
Cars Zarrouki 1;48.2794696;10.0759308;1.0;78.0;24.0;13.0
Caliba Viaggi 1;49.18054;9.220281300000002;1.0;39.0;15.0;4.0
Voyages Seyfritz 1;48.814009000000006;9.313803;1.0;80.0;15.0;16.0
Voyages Francotte 1;48.091590000000004;11.503701300000001;1.0;78.0;48.0;13.0
Autolinee Nuova Benese S.r.l. 1;48.8120413;7.785741000000001;1.0;63.0;15.0;45.0
Walter Wolf Omnibusunternehmen & Reisebüro 1;51.13026;11.2506613;1.0;78.0;8.0;15.0
Busreisen Haschick GbR 1;45.315391600000005;1.8334997;1.0;61.0;49.0;12.0
Josy Schwanger SAS 1;45.4241649;4.3856356;1.0;69.0;34.0;26.0
DS Touristik GmbH 1;45.02840870000001;3.8620796000000004;1.0;69.0;34.0;26.0
Autolinee Giuliano s.a.s di Giuliano Renato &C. 1;45.108459;4.297455;1.0;69.0;34.0;26.0
Flybus 1;45.3668528;4.1859199;1.0;75.0;9.0;0.0
SAV Autolinee 1;49.9777172;11.5159199;1.0;79.0;44.0;6.0
Saeg Noleggio (Bus Company) 1;50.6311167;3.012141;1.0;78.0;30.0;8.0
SAR (Consorzio CR BUS) 1;45.7580539;4.7650809;1.0;65.0;30.0;15.0
Barzi Service 1;44.9233465;4.8813645;1.0;65.0;30.0;15.0
SAPS s.r.l. 1;45.131176200000006;4.950729900000001;1.0;65.0;30.0;15.0
SIT (Società Italiana Trasporti) 1;43.6008029;1.3628008999999999;1.0;65.0;38.0;16.0
BMC BUS 1;43.10906729999999;-0.1155605;1.0;61.0;19.0;13.0
Michielotto Autoservizi 1;43.703293200000005;7.182777000000001;1.0;57.0;15.0;16.0
TROIANI 1;48.858940000000004;2.277516;1.0;57.0;16.0;39.0
Arzilli Bus s.r.l. 1;43.941659200000004;4.7632124000000005;1.0;67.0;22.0;6.0
Autoservizi Guizzetti s.r.l. 1;44.554589299999996;4.7103979;1.0;67.0;22.0;6.0
Dahmetal J.Rudolf & Sohn GmbH & Co.KG 1;48.4236722;2.6116905;1.0;63.0;36.0;17.0
SAC srl 1;48.8971711;2.1670006;1.0;53.0;7.0;3.0
Sulga srl 1;46.802338899999995;1.6552725;1.0;57.0;49.0;8.0
SATA ARL 1;48.438393100000006;2.132459;1.0;63.0;8.0;10.0
Rosa' Autoservizi 1;49.1534287;-0.2797676;1.0;64.0;18.0;9.0
Bellando Tours S.r.l. 1;49.505686499999996;0.5045132999999999;1.0;80.0;2.0;130.0
STAV Vigevano SPA 1;43.4064999;1.7009894;1.0;75.0;9.0;100.0
STAC - STAT 1;47.634710999999996;7.473485;1.0;57.0;49.0;4.0
Air Pullman Noleggio srl 1;45.507594;4.5723743;1.0;57.0;19.0;7.0
Gelosobus 1;45.5822742;5.871333900000001;1.0;65.0;7.0;40.0
H.J.K. Reisen 1;47.238317200000004;-1.6310053999999998;1.0;69.0;19.0;40.0
Schack Touristik GmbH & Co. KG 1;47.035934600000004;-0.9449885;1.0;69.0;19.0;40.0
CIALONE Tour S.p.A. 1;45.5538429;2.2239239;1.0;64.0;22.0;10.0
Autonoleggio Losio 1;45.4242091;4.3506149;1.0;53.0;44.0;7.0
Autolinee Crognaletti 1;45.787119;3.0777064999999997;1.0;61.0;21.0;26.0
Cipriano Turismo 1;48.8589507;2.22;1.0;61.0;21.0;26.0
Euro Travel 2004 s.r.l. di Paganelli 1;46.0461777;6.265143;1.0;61.0;21.0;26.0
Polidori Autolinee Viaggi e Turismo 1;49.5153628;5.7528079000000005;1.0;63.0;55.0;10.0
Buspunkt 1;46.692369;5.5551047;1.0;63.0;55.0;10.0
Monza Viaggi srl 1;47.331976;4.962181;1.0;63.0;55.0;10.0
DIBIASIBUS S.A.S. DI DIBIASI ELMAR & CO. 1;48.337073499999995;7.3187735;1.0;63.0;55.0;10.0
Caputo Bus 1;48.896435;2.1324856;1.0;57.0;35.0;3.0
DeLux-Express GmbH 1;48.8589507;2.2;1.0;57.0;35.0;3.0
Dr. Richard Linien GmbH & Co KG 1;47.657714899999995;-2.7834929;1.0;63.0;18.0;24.0
Held-Reisen 1;43.6433919;4.9789919000000005;1.0;59.0;22.0;15.0
K.D.E. Reisen GmbH 1;47.9982212;-4.1672502;1.0;83.0;19.0;12.0
Elka Reisen 1;47.8558598;-3.5936163999999997;1.0;83.0;19.0;12.0
KUKI Reisen - Inhaber B.Kiebert 1;43.288929100000004;5.454728599999999;1.0;61.0;8.0;18.0
Bamberger Busreisen Krapp GmbH 1;48.9314903;2.2704621;1.0;61.0;51.0;3.0
Gruppo Iannucci 1;45.614532000000004;11.565826;1.0;55.0;19.0;8.0
Busreisen Pelmter GmbH 1;48.454173100000006;7.4467541;1.0;61.0;7.0;8.0
International Tour s.a.s. 1;50.05651829999999;4.7160901;1.0;81.0;37.0;10.0
Europa Viaggi di Ronci Antonio & C. s.n.c. 1;44.389472;7.53982;1.0;72.0;20.0;15.0
V.I.T.A. S.p.A. 1;50.256859999999996;10.1974913;1.0;0.0;0.0;0.0
Tundo Vincenzo SpA 1;50.60609;12.6328713;1.0;55.0;45.0;3.0
Autolinee Sellitto s.r.l. 1;48.6049819;6.8021785999999995;1.0;80.0;8.0;80.0
Petrolli Reisen GmbH & Co. KG 1;51.45831;13.8638013;1.0;46.0;46.0;1.0
Reiseverkehr Puttrich GmbH 1;40.258944;15.075064000000001;1.0;55.0;55.0;7.0
Otto Römer GmbH & Co. 1;46.538171000000006;12.138064;1.0;0.0;0.0;0.0
Gebr. Maas GmbH & Co. KG 1;44.551792999999996;7.5426910000000005;1.0;82.0;28.0;21.0
Busbetrieb Bettenbühl 1;44.787539;7.507439999999999;1.0;0.0;0.0;0.0
Herburger Reisen GmbH 1;43.970181;12.077183;1.0;86.0;4.0;100.0
Hans Jürgen Riebe E.K. 1;45.732268;12.375664;1.0;62.0;20.0;10.0
