Partner Name|Status of partner|Line Partner|Partner Email|Phone Number|Vehicles Given|Capacity of Smallest Vehicle Given|Capacity of Biggest Vehicle Given|Depot 1 Name|Depot 1 Street|Depot 1 ZIP|Depot 1 City|Depot 1 Country|Depot 1 Latitude|Depot 1 Longitude|Depot 2 Name|Depot 2 Street|Depot 2 ZIP|Depot 2 City|Depot 2 Country|Depot 2 Latitude|Depot 2 Longitude|Depot 3 Name|Depot 3 Street|Depot 3 ZIP|Depot 3 City|Depot 3 Country|Depot 3 Latitude|Depot 3 Longitude|Depot 4 Name|Depot 4 Street|Depot 4 ZIP|Depot 4 City|Depot 4 Country|Depot 4 Latitude|Depot 4 Longitude|
Besseling Travel BV|CHARTER_PARTNER|Yes|travel@besseling.com|+31 88 8855855|60|25|82|Zentrale||3815|Amersfoort|Netherlands|52.1674326|5.4307216|||||||||||||||||||||
BGL Rent e.K.|CHARTER_PARTNER|Yes|bglrent@gmx.net|022022498040|11|41|65|Zentrale|Am Kuhlabusch|51469|Bergisch Gladbach|Germany|50.9855636|7.1110121|||||||||||||||||||||
Blaguss Reisen GmbH|CHARTER_PARTNER|Yes|bus@blaguss.at|(0043)161090214|150|8|84|Zentrale|Richard-Strauss-Straße|01230|Wien|Austria|48.19712|16.367603|||||||||||||||||||||
Reisedienst Bonte GmbH & Co.KG|CHARTER_PARTNER_CANDIDATE|No|info@reisedienst-bonte.de|+4966919272920|12|26|53|Zentrale|Am Nordbahnhof|34613|Schwalmstadt|Germany|50.9265473|9.2268444|Depot|||Vellmar|Germany|51.3623063|9.4470815||||||||||||||
Bösche Reisen|CHARTER_PARTNER|No|info@boesche-reisen.de|04020001120|35|16|78|Zentrale|Albert-Schweitzer Ring|22045|Hamburg|Germany|53.578444|10.1156188|||||||||||||||||||||
Brömmel Omnibusbetrieb|EX_PARTNER|No|broemmel-bus@t-online.de|(028)6510421|1|0|49|Zentrale||46348|Raesfeld-Erle|Germany|51.7658009|6.8355795|||||||||||||||||||||
Reisebüro & Omnibusbetrieb Karsten Brust|CHARTER_PARTNER|Yes|reiselustbrust@t-online.de|(030)9444178|4|38|49|Zentrale||16341|Panketal|Germany|52.6396575|13.527899|||||||||||||||||||||
Bruzzo Express|CHARTER_PARTNER|Yes|bruzzo@t-online.de|02247971093|5|25|51|Zentrale|Weilersberg|53819|Neunkirchen-Seelscheid|Germany|50.8576755|7.3414069|||||||||||||||||||||
BusArt Tours GmbH|EX_PARTNER|Yes|info@busart-tours.de|0303030830|13|48|81|Zentrale|Albrechtstraße|12099|Berlin|Germany|52.4615375|13.404357|||||||||||||||||||||
Busworld International GmbH |CHARTER_PARTNER|Yes|marc.schaum@busworld-international.com|06152-9769010|20|8|59|Zentrale||64569|Nauheim|Germany|49.9527804|8.474942|||||||||||||||||||||
Buteo Busservice Behrendt GmbH & Co. KG|CHARTER_PARTNER|Yes|info@buteo-busservice.de|(033)827076 91|5|49|57|Zentrale||14797|Kloster Lehnin|Germany|52.3172425|12.6630489|||||||||||||||||||||
Reisebüro und Omnibusunternehmen Cermak e.K.|CHARTER_PARTNER|Yes|guenther.cermak@cermak-reisen.de|+49964392180|31|8|57|Zentrale|Nitzlbuch|91275|Auerbach/OPf.|Germany|49.6750635|11.6468413|||||||||||||||||||||
CP Fahrschultruck (DeKieler)|CHARTER_PARTNER|Yes|info@de-kieler.de|0431 59 29 30 60|6|40|56|Zentrale|Hamburger Chaussee|24113|Kiel|Germany|54.2675695|10.4300715|||||||||||||||||||||
Dehn Touristik Heinrich Dehn GmbH & Co.KG|CHARTER_PARTNER|No|c.sexstro@dehn-reisen.de|04321120 55|12|6|78|Zentrale|Friedrichstraße|24534|Neumünster|Germany|54.0738206|9.9800325|||||||||||||||||||||
Dornburg-Reisen GmbH & Co. KG|CHARTER_PARTNER|No|info@dornburg-reisen.de|+496436910910|70|8|63|Zentrale|Im Eichwald|65599|Dornburg|Germany|50.5117342|8.026892|||||||||||||||||||||
Duckstein GmbH & Co. KG|CHARTER_PARTNER|No|christian.duckstein@duckstein-pollitz.de|+495351544800|6|22|57|Zentrale|Hinter der Ziegelei|38350|Helmstedt|Germany|52.2496433|10.9916313|||||||||||||||||||||
DUS-BUS (Bergische/ Mesenhohl)|NO_GO_PARTNER|No|info@wega-reisen.de|(02102)93440|30|30|54|Zentrale||40885|Ratingen|Germany|51.342797|6.8657915|||||||||||||||||||||
Ebenbeck-Reisen GmbH|EX_PARTNER|No|info@ebenbeck-reisen.de|09421531010|15|44|78|Zentrale||94315|Straubing|Germany|48.882996|12.5737176|Zweigstelle|||Eichendorf|Germany|48.631845|12.7836039|Zweigstelle|||Gottfrieding|Germany|48.6375947|12.4653971|||||||
Eberhardt-Reisen Richard Eberhardt GmbH|CHARTER_PARTNER|Yes|Verena.Weber@eberhardt-reisen.de|+49708279029|12|8|82|Zentrale|Industrieweg|75331|Engelsbrand|Germany|48.8301661|8.6521206|Depot|Am Storrenacker|76139|Karlsruhe|Germany|49.0224395|8.4665376|Depot|Tafingerstraße|71665|Vaihingen/Enz|Germany|48.9415035|8.9587813|||||||
Reisebusunternehmen Maik Eckinger|CHARTER_PARTNER|Yes|info@derkrostitzer.de|+491743135646|11|8|56|Zentrale|Im Mittelfeld|04509|Krostitz|Germany|51.4382358|12.4151825|||||||||||||||||||||
Fa. Hermann Edzards|EX_PARTNER|No|disposition@edzards-reisen.de|(04971)92580|0|0|0|Zentrale||26427|Esens|Germany|53.6381794|7.631959|||||||||||||||||||||
Efinger-Reisen|CHARTER_PARTNER|No|josi.ziegler@efinger-reisen.de|+49825187600|8|19|76|Zentrale|Fritz-Mayer-Straße|86551|Aichach|Germany|48.4659035|11.1250313|||||||||||||||||||||
Egenberger GmbH & Co. KG|CHARTER_PARTNER|Yes|info@egenberger-reisen.de|0827180000|5|51|57|Zentrale||86672|Thierhaupten|Germany|48.565416|10.9283949|||||||||||||||||||||
Eichberger Reisen GmbH & Co. KG|CHARTER_PARTNER|Yes|dispo@globus-group.de|+49851989000217|100|8|61|Depot - vorübergehend -|Flurscheideweg||Frankfurt am Main|Germany|50.1260249|8.576865399999974|Zentrale|Messestraße|94036|Passau|Germany|48.5558159|13.409518|Depot|Poll Vingster Straße|51105|Köln|Germany|50.9226711|7.0019362|||||||
Elite Traffic GmbH|CHARTER_PARTNER|No|info@elite-traffic.de|(040)227454-10 (altern. -11)|13|19|81|Zweigstelle Berlin|Hagedornstr.|12487|Berlin|Germany|52.4496|13.514499999999998|Zentrale||21029|Hamburg|Germany|53.4835475|10.2327285||||||||||||||
Erfmann Reisen GmbH & Co. KG|CHARTER_PARTNER|Yes|info@erfmann-reisen.de|+4925735019770|5|4|79|Zentrale|Bahnhofstraße|48356|Nordwalde|Germany|52.0832333|7.4695613|||||||||||||||||||||
Verkehrsbetrieb Franke GmbH|CHARTER_PARTNER|Yes|franke.reisen@t-online.de|06446921090|4|50|78|Zentrale|Zu den neuen Wiesen|35644|Hohenahr-Erda|Germany|50.6633915|8.4906774|||||||||||||||||||||
Reisebüro Fredrich GmbH|EX_PARTNER|No|info@fredrich.de|(0561)951444|5|48|76|Zentrale||34253|Lohfelden|Germany|51.267627|9.5547105|||||||||||||||||||||
Freiburger Reisedienst|CHARTER_PARTNER|Yes|info@freiburger-reisedienst.de|0761500500|10|16|78|Zentrale|Lörrachstraße|79115|Freiburg|Germany|47.9887825|7.818457|||||||||||||||||||||
Frenzel-Reisen KG|CHARTER_PARTNER|Yes|info@frenzel-reisen.de|+49421642030|21|21|79|Zentrale|Sperberstraße|28239|Bremen|Germany|53.1345232|8.7392113|||||||||||||||||||||
Frölich-Reisen GmbH|CHARTER_PARTNER|Yes|bianca.froelich@froelich-reisen.de|0560280070|5|48|53|Zentrale|Ludwig-Frölich-Straße|37235|Hessisch Lichtenau|Germany|51.194231|9.7334835|||||||||||||||||||||
Reisedienst Fuhrmann|CHARTER_PARTNER|Yes|info@reisedienst-fuhrmann.de|05356223|19|39|54|Münster||48143|Münster|Germany|51.9502139|7.4840157|Berlin||10115|Berlin|Germany|52.5076682|13.2860633|Zentrale|Hof Trendel|38368|Rennau|Germany|52.302923|10.957717|||||||
FÜRST REISEN GmbH & Co KG|CHARTER_PARTNER|Yes|fuchs@fuerstreisen.de|08505900927|32|6|58|Zentrale|Markstraße|94116|Hutthurm|Germany|48.688091|13.4806061|||||||||||||||||||||
Gäke|CHARTER_PARTNER_CANDIDATE|No|info@reisedienst-gaeke.de|02235691011|6|32|70|Zentrale||50374|Erfstadt|Germany|50.7897916|6.765484|||||||||||||||||||||
Geißler-Reisen GmbH|CHARTER_PARTNER|No|ulf@geissler-reisen.de|0342370040|30|15|78|Zentrale|Kranoldstraße|04838|Eilenburg|Germany|51.4563537|12.5616216|Depot|Ranstädter Steinweg|04109|Leipzig|Germany|51.3439369|12.3652138||||||||||||||
Genthner|EX_PARTNER|No|robert-michael@omnibusreisen-genthner.de|+49 (0) 9803 / 94110|0|0|57|Zentrale||91598|Colmberg|Germany|49.3685525|10.4096921|||||||||||||||||||||
Gläser Reisen|CHARTER_PARTNER|Yes|info@glaeser-reisen.de|0373417418|4|48|55|Zentrale|Venusberger Str.|09430|Drebach|Germany|50.6848815|13.0197609|||||||||||||||||||||
Gödde-Reisen oHG|CHARTER_PARTNER|Yes|info@goedde-reisen.de|02566617|5|25|58|Zentrale|Am Bahnbusch|48739|Legden|Germany|52.0484921|7.1124455|||||||||||||||||||||
Gottlieb- Reisen GmbH & Co. KG|CHARTER_PARTNER|Yes|info@gottlieb-reisen.de|054727440|12|40|53|Zentrale|Goldene-Hornstraße|49152|Bad Essen|Germany|52.32738|8.3809305|||||||||||||||||||||
Retours (Gradliner)|CHARTER_PARTNER|Yes|info@retours.de|0511637776|24|48|78|Parkplatz|Freiheit|13597|Berlin|Germany|52.53288|13.209749999999985|Zentrale|Chromstraße|30916|Isernhagen|Germany|52.4555135|9.8512806||||||||||||||
Anton Graf GmbH|CHARTER_PARTNER|Yes|ov@anton-graf.de|+492325698165|100|8|78|Zentrale|Edmung-Weber-Straße|44651|Herne|Germany|51.5131826|7.1638135|||||||||||||||||||||
Groeger Reisen GmbH|CHARTER_PARTNER|Yes|bus@groeger-reisen.de|02324934617|13|48|79|Zentrale|Im Vogelsang|45527|Hattingen|Germany|51.3737535|7.2160741|||||||||||||||||||||
Grüner Omnibusse GmbH|CHARTER_PARTNER|Yes|info@gruener-bus.de|08752451|35|8|61|Zentrale|Kirchplatz|84104|Rudelzhausen|Germany|48.5882435|11.7824824|||||||||||||||||||||
Gutt Reisen GmbH - VR-Tours|CHARTER_PARTNER|Yes|j.althoff@vr-tours.de|02364 920744|65|8|91|Zentrale||45721|Haltern am See|Germany|51.7580595|7.1843379|||||||||||||||||||||
Helmuts Reisen GmbH|CHARTER_PARTNER|Yes|service@helmuts-reisen.de|+4981215833|10|42|80|Zentrale|Neusatzerstr.|85570|Markt Schwaben|Germany|48.1889381|11.8600611|Depot|Im Wiegenfeld|85570|Markt Schwaben|Germany|48.1893836|11.8480713|Nur für Berücksichtigung der Anfragen||80335|München|Germany|48.1417447|11.548503399999959|||||||
"Emil Hilgen, Inh Günter Hilgen e.K.|CHARTER_PARTNER|No|m.addicks@emil-hilgen.de|04486920118|20|30|69|Zentrale|Friedrichsfehnerstraße|26188|Friedrichsfehn|Germany|53.1160775|7.9906834|||||||||||||||||||||"
Mannheimer Omnibusreisen - Holger Tours GmbH|CHARTER_PARTNER|Yes|info@holger-tours.de|062046082400 oder 017612 80 52 21|15|7|78|Zentrale||68519|Mannheim|Germany|49.5564835|8.557245|||||||||||||||||||||
Höner Touristik und Logistik GmbH|CHARTER_PARTNER|Yes|info@hoener-reisen.de|(05405)807650|2|8|54|Zentrale||49205|Hasbergen|Germany|52.2418295|7.9671169|||||||||||||||||||||
Hörmann Reisen|CHARTER_PARTNER|Yes|gruppen@hoermann-reisen.de|08213450037|11|40|68|Zentrale||86150|Augsburg|Germany|48.364986|10.8914375|||||||||||||||||||||
Huber|NOT_RELEVANT|No|info@huber-busreisen.de|(078)04618|5|26|51|Zentrale||77728|Oppenau|Germany|48.487895|8.178631|||||||||||||||||||||
Werner Hummel Omnibusverkehr GmbH|CHARTER_PARTNER|Yes|julien@auto-hummel.com|(07661)4225|6|30|50|Zentrale||79199|Kirchzarten|Germany|47.961967|7.9537615|||||||||||||||||||||
Hunau Reisen Ferd. Knipschild GmbH & Co. KG|CHARTER_PARTNER|Yes|mail@hunau-reisen.de|(029)77512|12|22|65|Zentrale||57392|Schmallenberg-Bödefeld|Germany|51.1903979|8.309775|||||||||||||||||||||
Ideal Reisen GmbH|CHARTER_PARTNER|No|info@idealreisen.de|(0271)2386740|5|38|44|Zentrale||57074|Siegen|Germany|50.8707916|8.068256|||||||||||||||||||||
Janssen Reisen Wittmund GmbH & CO. KG|CHARTER_PARTNER|No|info@janssen-reisen.de|+494462 888 22|21|16|70|Zentrale||26409|Wittmund|Germany|53.605785|7.7521389|||||||||||||||||||||
Joost´s Ostsee Express Busreisen GmbH|CHARTER_PARTNER|Yes|info@joost.de|03820386111|25|16|57|Zentrale|Schulstraße|18211|Rethwisch|Germany|54.0996475|11.9294406|||||||||||||||||||||
Klein-Wiele Reisen GmbH|CHARTER_PARTNER|Yes|info@kleinwiele.eu| (028)7121350|8|40|88|Zentrale||46395|Bocholt|Germany|51.8194405|6.585009|||||||||||||||||||||
Gelderesch Reizen
Omnibus Koch|CHARTER_PARTNER|Yes|christian.kaiser@omnibus-koch.de|(09876)97770|9|8|78|Zentrale|Buchschwabacherstraße|91189|Rohr|Germany|49.3389249|10.9296895|||||||||||||||||||||
Kocher Lutz GmbH|CHARTER_PARTNER|Yes|info@kocherlutz.de|0712781130|10|17|59|Zentrale|Schießwieslenstraße|72766|Reutlingen|Germany|48.4957354|9.1151944|||||||||||||||||||||
KomBus|EX_PARTNER|No|kein||0|0|0||||||||||||||||||||||||||||
Kössl-Reisen GmbH|CHARTER_PARTNER|Yes|schwaiger-reisen@t-online.de|0825288600|9|20|60|Zentrale|Georg-Alber-Straße|86529|Schrobenhausen|Germany|48.5658637|11.2618922|||||||||||||||||||||
Lagobus GmbH|CHARTER_PARTNER|Yes|info@lagobus.de|(07731)9398999|13|44|83|Zentrale||78224|Singen am Hohentwiel|Germany|47.7570965|8.8640459|||||||||||||||||||||
Lampe Reisen GmbH & Co. KG|CHARTER_PARTNER|Yes|info@lampe-reisen.de|(04821)940148|6|44|57|Zentrale|Gasstraße|25524|Itzehoe|Germany|53.9315928|9.4861201|||||||||||||||||||||
Lanting Reizen|CHARTER_PARTNER|Yes|reinier@lantingreizen.nl|+31528233000|49|28|90|Zentrale||7903 AV|Hoogeveen|Netherlands|52.7291949|6.5108697|||||||||||||||||||||
Lay Reisen on Tour GmbH|CHARTER_PARTNER_CANDIDATE|No|info@lay.de|06898690100|11|33|78|Zentrale|Industriegelände am Bahnhof|66346|Püttlingen|Germany|49.2814933|6.8744422|||||||||||||||||||||
Wilhelm Leibfritz GmbH & Co.KG|CHARTER_PARTNER|Yes|info@leibfritz-reisen.de|07128687|18|30|61|Zentrale|Am Genkinger Weg|72820|Sonnenbühl|Germany|48.3822362|9.1836972|||||||||||||||||||||
Lenhard GmbH & Co. KG|CHARTER_PARTNER|Yes|fa.lenhard@t-online.de|+4997018528|2|49|49|Zentrale|Am Kapellchen|97657|Sandberg|Germany|50.3424834|10.0111913|||||||||||||||||||||
Tour-Retour-Reisen Lenz|CHARTER_PARTNER|Yes|info@lenz-reisen.de|03048637281|4|46|48|Zentrale|Schönholzer Straße|13187|Berlin|Germany|52.569914|13.4085715|||||||||||||||||||||
Lochbühler Reisen GmbH|CHARTER_PARTNER|Yes|flixbus@lochbuehler.eu|+496201986616|8|25|55|Zentrale|Daimlerstraße|69469|Weinheim|Germany|49.5466835|8.620431|||||||||||||||||||||
Plattner Martin & Co|CHARTER_PARTNER|Yes|claudia.wicklein@martin-reisen.de|00499265 9590|0|0|0|Zentrale||39011|Lana|Italy|46.6011235|11.1359039|||||||||||||||||||||
Mertens Reisen GmbH|CHARTER_PARTNER|Yes|info@mertens-rietberg.de|052449063914|30|24|57|Zentrale|Merschhemkeweg|33397|Rietberg |Germany|51.7967321|8.433566|||||||||||||||||||||
Merz Reisen GmbH|CHARTER_PARTNER|Yes|info@merz-reisen.com|0049918795290|10|31|59|Zentrale|Birgittenweg|92348|Gnadenburg|Germany|49.3572695|11.4362955|||||||||||||||||||||
Dirr-Reisen GmbH|CHARTER_PARTNER|Yes|mail@dirr-reisen.de|+498225309910|30|9|81|Zentrale|Wettenhauserstraße|89343|Jettingen-Scheppach|Germany|48.3894435|10.4293413|||||||||||||||||||||
Möbius Bus GbR|CHARTER_PARTNER|Yes|info@moebius-bus.de|+493514841690|10|8|57|Zentrale|Breitscheidstraße|01156|Dresden|Germany|51.0829833|13.6345013|Avus Parkplatz|Messedamm|14055|Berlin|Germany|52.5007783|13.2748533||||||||||||||
Moje Bustouristik|NO_GO_PARTNER|No|info@moje-bustouristik.de|040806099511|5|19|58|Zentrale|Glüsinger Straße|21217|Seevetal|Germany|53.4203816|10.0190135|||||||||||||||||||||
Omnibusbetrieb Stephan Müller|CHARTER_PARTNER|Yes|mueller-harsleben@t-online.de|03941605409|12|20|59|Zentrale|Südstraße|38829|Harlsleben|Germany|51.8661495|11.0952988|||||||||||||||||||||
Neukam-Reba GmbH|CHARTER_PARTNER|Yes|info@neukam.de|0911 200 14 50|25|7|55|Zentrale|Hallplatz|90402|Nürnberg|Germany|49.4516269|11.0889|||||||||||||||||||||
Neumann Reisen GmbH|CHARTER_PARTNER|Yes|info@neumann-reisen.de|05219461510|21|4|68|Zentrale|Carl-Severing-Straße|33649|Bielefeld|Germany|51.981166|8.4409059|||||||||||||||||||||
Nieuwland Reizen B.V.|CHARTER_PARTNER|Yes|info@nieuwlandreizen.nl|+31365497752|0|0|0|Zentrale||1112 AX|Almere|Netherlands|52.3316608|4.9671651|||||||||||||||||||||
Nussbaum Reisen Omnibus GmbH & Co.KG|EMERGENCY_PARTNER|No|katja@nussbaum-reisen.de|0821481432|7|49|75|Zentrale||86420|Biburg|Germany|48.3510465|10.758897|||||||||||||||||||||
Ohly & Weber Reisedienst GmbH|CHARTER_PARTNER|Yes|info@ohly-weber.de|(06081)7279|3|44|49|Zentrale||61267|Neu-Aspach|Germany|50.2911605|8.5115919|||||||||||||||||||||
Omnibus Verkehr Wangen Buchmann GmbH & Co KG|CHARTER_PARTNER|Yes|busdispo@heine-reisen.de|07522974618|15|20|60|Zentrale|Ahegg|88239|Wangen im Allgäu|Germany|47.688368|9.8127445|||||||||||||||||||||
Perseus-Reisen GmbH|EX_PARTNER|Yes|birgit.perseus@perseus-reisen.de|(08639)8011|0|0|0|Zentrale||84494|Neumarkt-St.Veit|Germany|48.355151|12.513912|||||||||||||||||||||
Petram|CHARTER_PARTNER|Yes|georgpetram@aol.com|(08945)301889|12|6|57|Zentrale|Rappenweg|81829|München|Germany|48.1335875|11.6841191|||||||||||||||||||||
Euro Tours Hugo Pfeifer KG|EX_PARTNER|No|info@eurotours-pfeifer.de|(07842)993678|0|0|0|Zentrale||77876|Kappelrodeck-Waldulm|Germany|48.5802845|8.1176265|||||||||||||||||||||
Primo Regio GmbH & Co. KG i.G.|CHARTER_PARTNER|Yes|K.schuchort@primo-reisen.de|+4944036244817|13|44|53|Zweigstelle|Molkereistraße|21789|Wingst|Germany|53.7442432|9.0851213|Zentrale|Im Doorgrund|26160|Bad Zwischenahn|Germany|53.1690826|7.997202||||||||||||||
H. J. Placke Reisen|CHARTER_PARTNER|Yes|info@placke-reisen.de|0221608012|70|6|82|Zentrale|Piccoloministraße|51063|Köln|Germany|50.9715352|7.0254993|||||||||||||||||||||
Prima Klima Reisen GmbH|CHARTER_PARTNER|Yes|office@primaklimareisen.de|+493068409840|50|16|80|Zentrale|Ordensmeisterstraße|12099|Berlin|Germany|52.458736|13.395687|||||||||||||||||||||
Pülm Reisen GmbH|CHARTER_PARTNER|Yes|tanja.truempelmann@puelmreisen.de|01638805675|1|48|48|Zentrale|Schlackenstraße|38723|Seesen/Rhüden|Germany|51.8779185|10.1911689|||||||||||||||||||||
Racktours GmbH & Co. KG|CHARTER_PARTNER|Yes|info@racktours.de|061832247|18|21|59|Zentrale|Auf dem Hessel|63526|Erlensee|Germany|50.1598655|8.9837581|||||||||||||||||||||
Reiter's Busverkehrs GmbH|EX_PARTNER|No|info@busreisen-reiter.de|+49492193310|6|34|57|Zentrale|Zweiter Polderweg|26723|Emden|Germany|53.35678|7.17728|||||||||||||||||||||
Albert-Rexer GmbH & Co. KG|CHARTER_PARTNER|Yes|reisen@rexer.de|+497051162610|12|40|75|Zentrale|Robert-Bosch-Str.|75365|Calw|Germany|48.7054111|8.7545019|||||||||||||||||||||
Rheingold Reisen Wuppertal Blankennagel GmbH & Co. KG|EX_PARTNER|No|info@rheingoldbus.de|+49 (0202) 769630|1|0|48|Zentrale||42279|Wuppertal|Germany|51.3003026|7.233601|||||||||||||||||||||
Rombs-Touristik GmbH & Co.|CHARTER_PARTNER|Yes|ru.rombs@rombs.de|091419930|9|19|61|Zentrale||91781|Weißenburg|Germany|49.0089579|10.9879169|||||||||||||||||||||
Satra-Eberhardt GmbH (gehört zu Eberhardt ID294)|CHARTER_PARTNER|Yes|info@satra-eberhardt.de|01743117500|10|36|53|Zentrale|Zschoner Ring|01723|Kesselsdorf|Germany|51.04005|13.59413|||||||||||||||||||||
Schächer Reisen GmbH|CHARTER_PARTNER|Yes|info@schaecher-reisen.de|+4982681211|1|49|49|Zentrale|Obere Viehweide|86874|Tussenhaussen|Germany|48.0993862|10.5520839|||||||||||||||||||||
Schmidt Fernlinienbus GmbH|CHARTER_PARTNER|Yes|Lars.Lohmann@der-schmidt.de|05331884250 / Für Grüne Busse: 884134|18|40|68|Zentrale|Halchtersche Straße|38304|Wolfenbüttel|Germany|52.157002|10.497371|||||||||||||||||||||
Schneider Reisen GmbH|CHARTER_PARTNER|Yes|Markus.Wieliki@schneider-bank.de|004924432446|5|48|77|Zentrale||53894|Mechernich|Germany|50.586908|6.6531484|||||||||||||||||||||
Schnurr Reisen GmbH|CHARTER_PARTNER_CANDIDATE|No|info@schnurr-reisen.de|0783563880|20|29|72|Zentrale|Steinenfeld|77736|Zell am Harmersbach|Germany|48.344027|8.0888625|||||||||||||||||||||
"Schröder (BaWü)|CHARTER_PARTNER|Yes|dominic.schroeder@omnibus-schroeder.de|07345919113|30|26|81|Zentrale||89129|Langenau|Germany|48.5127674|10.101507|Berlin|Freiheit ,|13597|Berlin|Germany|52.5243982|13.707308799999964||||||||||||||"
Reisedienst Schröder GmbH|CHARTER_PARTNER|Yes|busanmietung@reisedienst-schroeder.de|(0381)4939915|6|44|57|Zentrale|Langenort|18147|Rostock|Germany|54.178211|12.2716919|||||||||||||||||||||
Silbernagl GmbH|CHARTER_PARTNER|Yes|info@silbernagl.it|(0039)0471 706633|0|0|0|Zentrale||39040|Seis|Italy|46.5949575|11.408051|||||||||||||||||||||
Staf Cars|CHARTER_PARTNER|Yes|rene@staf.be|(0032)11641143|4|48|66|Zentrale||03920|Lommel|Belgium|51.219521|5.365165|||||||||||||||||||||
Stiefvater Linien John Stiefvater e.K.|CHARTER_PARTNER|Yes|info@stiefvater-reisen.de|(07621)92760|10|29|55|Zweigstelle|Am Weiher 19|4102|Binningen|Switzerland|47.5437748|7.554939|Zentrale||79589|Binzen|Germany|47.6342979|7.62526||||||||||||||
Strauss GmbH & Co. KG|CHARTER_PARTNER_CANDIDATE|No|info@strauss-reisen.de|(07542)530018|31|8|65|Zentrale|Oberhoferstraße|88069|Tettnang|Germany|47.655028|9.6186285|||||||||||||||||||||
Strier Reisen GmbH & Co. KG|CHARTER_PARTNER_CANDIDATE|No|info@strier.de|+4954 51910 20|14|15|54|Zentrale|Bäumerstraße|49477|Ibbenbüren|Germany|52.278985|7.708672|||||||||||||||||||||
Reiseservice Horst Strobl|CHARTER_PARTNER|Yes|info@reiseservice-strobl.de|(09621)14253|4|30|57|Zentrale||92224|Amberg|Germany|49.454358|11.8454956|||||||||||||||||||||
Reiseverkehr/Omnibusreisen Stuber GmbH|CHARTER_PARTNER|Yes|volker.stuber@autohaus-stuber.de|(07046)962520|4|26|55|Zentrale|Michelbacherstrasse|74374|Zaberfeld|Germany|49.060057|8.9078645|||||||||||||||||||||
Suerland Busreisen GmbH|CHARTER_PARTNER|Yes|info@suerland-reisen.de|+49529298400|6|44|55|Zentrale|Westernstraße|33178|Borchen|Germany|51.6303265|8.7580057|||||||||||||||||||||
Theo's Reisen GmbH & Co. KG|EX_PARTNER|No|info@theos-reisen.de|(02533)555|10|16|60|Zentrale||48161|Münster|Germany|51.989147|7.5339121|||||||||||||||||||||
